2018-09-04 05:30:03,b'RT @gagandeepkor: Anger Of Haryana people is bursting out day by day .\n@mlkhattar is that monster who is teking haryana of people.\nDay by d\xe2\x80\xa6'
2018-09-04 05:30:02,b'RT @SavvyPriya: I will vote for @BJP4India if @narendramodi can make chai using nallah gas and drink it https://t.co/ejlagceGXx'
2018-09-04 05:30:01,b'@gsurya @ragarwal @harishbpuri @MonaAmbegaonkar @narendramodi This is rather like the movie Azhar where he gets int\xe2\x80\xa6 https://t.co/0yPqNBAhoG'
2018-09-04 05:30:00,"b'During UPA, even after 2G, Coalgate, Jijaji, CWG and other billions of Rupees of scams, we had some money left to f\xe2\x80\xa6 https://t.co/jHFqxh1rQ0'"
2018-09-04 05:29:57,b'RT @YourGalNeha: When unemployment goes through the roof @narendramodi spends 29.9 billion rupees of tax payers money to employ 100\xe2\x80\x99s of Ch\xe2\x80\xa6'
2018-09-04 05:29:55,b'RT @79unVEa1zkFfvNh: Justice for btc and deled trainees. #justice4btc @PMOIndia @HRDMinistry @NCTE_ @PrakashJavdekar @narendramodi @myogiad\xe2\x80\xa6'
2018-09-04 05:29:53,b'RT @pknravi: #\xe0\xae\xaa\xe0\xae\xbe\xe0\xae\x9a\xe0\xae\xbf\xe0\xae\x9a\xe0\xae\xaa\xe0\xae\xbe\xe0\xae\x9c\xe0\xae\x95_\xe0\xae\x86\xe0\xae\x9f\xe0\xaf\x8d\xe0\xae\x9a\xe0\xae\xbf\xe0\xae\x92\xe0\xae\xb4\xe0\xae\xbf\xe0\xae\x95\n\nAs a citizen of India ..every citizen has rights to criticize &amp; complement their government.. because th\xe2\x80\xa6'
2018-09-04 05:29:51,b'RT @63moonsofficial: The defaulters have diverted default money into other businesses. Why is there no action against them? #NSEL @PMOIndia\xe2\x80\xa6'
2018-09-04 05:29:50,b'RT @PMOIndia: Asian Games: PM @narendramodi congratulates Indian contingent for best-ever performance. \nhttps://t.co/AI7ZdFoOKQ via NaMo Ap\xe2\x80\xa6'
2018-09-04 05:29:50,b'@AmitShah @Sanju_Verma_ @BJP4Karnataka @BSYBJP Congrats on arresting #Sofia These bloody Indians deserve it! How da\xe2\x80\xa6 https://t.co/KauDRvjCXt'
2018-09-04 05:29:49,"b'RT @kanna_ram: Lois Sophia @Red_Pastures ,went through her twitter TL and groups which support her.She is working in  hands with Urban Naxa\xe2\x80\xa6'"
2018-09-04 05:29:48,"b'RT @nandaji1958: Discrimination against Jammu Hindus continue. More population less Representation at parliament&amp;Assembly,ECI must delimita\xe2\x80\xa6'"
2018-09-04 05:29:46,b'RT @narendramodi: Spent time with the family of beloved Atal Ji at their residence. https://t.co/juvBJM9L8a'
2018-09-04 05:29:46,b'RT @narendramodi: Well said. https://t.co/laxPCxvjt9'
2018-09-04 05:29:46,b'RT @Indiansontop: @HukmaRa69171657 @vanitajain21 @imPk_MODIfied @RamsaBJYM @narendramodi @Ramesh_BJP @RohiniShah73 @jvidyasagar @VictoryFor\xe2\x80\xa6'
2018-09-04 05:29:45,b'Very Important!\n@narendramodi\n@arunjaitley\n@rsprasad\n@sumanthraman\n@sgurumurthy\n@Gopalee67\n@latpot10\n@rkhuria\xe2\x80\xa6 https://t.co/AXK0E7H8JF'
2018-09-04 05:29:44,b'RT @AdvaitaKala: Hello from \xe2\x80\x9cNamo Tandoori Chai\xe2\x80\x9d - the nationalist tea stall - the lady owner is a @narendramodi fan. The decor consists of\xe2\x80\xa6'
2018-09-04 05:29:43,"b'RT @AmitThakerBJP: PM Shri @NarendraModi inaugurates multiple development projects at Junagadh, Gujarat #PMInGujarat https://t.co/OvwAsy2j38'"
2018-09-04 05:29:42,b'RT @narendramodi: Spent time with the family of beloved Atal Ji at their residence. https://t.co/juvBJM9L8a'
2018-09-04 05:29:41,b'RT @Misandry_Kills: @Dr_SimranSingh @AcharyaPramodk Now\n\nLet @BJP4India bring #PurushAyog (#MensCommission) &amp; #GenderNeutralLaws asap\n\nElse\xe2\x80\xa6'
2018-09-04 05:29:39,b'Wonderful reply by an intelligent person unlike the rumors @RahulGandhi and his so called intelligent team member\xe2\x80\xa6 https://t.co/dFCofPinBy'
2018-09-04 05:29:39,b'@Laxmisaudi @Sootradhar @narendramodi @BJP4India @INCIndia What do you want him to do for Hindus?'
2018-09-04 05:29:38,b'RT @63moonsofficial: 63 moons has always supported #NSEL in its efforts to recover money from the defaulters.  @PMOIndia @narendramodi @Dev\xe2\x80\xa6'
2018-09-04 05:29:37,b'RT @narendramodi: Spent time with the family of beloved Atal Ji at their residence. https://t.co/juvBJM9L8a'
